,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
53,52,"Sun, Feb 4, 2018",12:00p  ET,,Box Score,@,Brooklyn Nets,W,,109,94,29,23,W 2,
54,53,"Tue, Feb 6, 2018",7:30p  ET,,Box Score,@,New York Knicks,W,,103,89,30,23,W 3,
55,54,"Fri, Feb 9, 2018",8:00p  ET,,Box Score,@,Miami Heat,L,,85,91,30,24,L 1,
56,55,"Sat, Feb 10, 2018",7:00p  ET,,Box Score,@,Orlando Magic,W,,111,104,31,24,W 1,
57,56,"Tue, Feb 13, 2018",8:00p  ET,,Box Score,,Atlanta Hawks,W,,97,92,32,24,W 2,
58,57,"Thu, Feb 15, 2018",8:00p  ET,,Box Score,,Denver Nuggets,L,,123,134,32,25,L 1,
59,58,"Fri, Feb 23, 2018",7:30p  ET,,Box Score,@,Toronto Raptors,W,OT,122,119,33,25,W 1,
60,59,"Sun, Feb 25, 2018",3:00p  ET,,Box Score,,New Orleans Pelicans,L,OT,121,123,33,26,L 1,
61,60,"Tue, Feb 27, 2018",8:00p  ET,,Box Score,,Washington Wizards,L,,104,107,33,27,L 2,
63,61,"Wed, Feb 28, 2018",7:00p  ET,,Box Score,@,Detroit Pistons,L,,87,110,33,28,L 3,
64,62,"Fri, Mar 2, 2018",8:00p  ET,,Box Score,,Indiana Pacers,L,,96,103,33,29,L 4,
65,63,"Sun, Mar 4, 2018",8:00p  ET,,Box Score,,Philadelphia 76ers,W,,118,110,34,29,W 1,
66,64,"Mon, Mar 5, 2018",7:00p  ET,,Box Score,@,Indiana Pacers,L,,89,92,34,30,L 1,
67,65,"Wed, Mar 7, 2018",8:00p  ET,,Box Score,,Houston Rockets,L,,99,110,34,31,L 2,
68,66,"Fri, Mar 9, 2018",8:00p  ET,,Box Score,,New York Knicks,W,,120,112,35,31,W 1,
69,67,"Mon, Mar 12, 2018",8:00p  ET,,Box Score,@,Memphis Grizzlies,W,,121,103,36,31,W 2,
70,68,"Wed, Mar 14, 2018",7:00p  ET,,Box Score,@,Orlando Magic,L,,117,126,36,32,L 1,
71,69,"Sat, Mar 17, 2018",6:00p  ET,,Box Score,,Atlanta Hawks,W,,122,117,37,32,W 1,
72,70,"Mon, Mar 19, 2018",7:00p  ET,,Box Score,@,Cleveland Cavaliers,L,,117,124,37,33,L 1,
73,71,"Wed, Mar 21, 2018",8:00p  ET,,Box Score,,Los Angeles Clippers,L,,120,127,37,34,L 2,
74,72,"Fri, Mar 23, 2018",8:00p  ET,,Box Score,@,Chicago Bulls,W,,118,105,38,34,W 1,
75,73,"Sun, Mar 25, 2018",3:30p  ET,,Box Score,,San Antonio Spurs,W,,106,103,39,34,W 2,
76,74,"Tue, Mar 27, 2018",10:30p  ET,,Box Score,@,Los Angeles Clippers,L,,98,105,39,35,L 1,
77,75,"Thu, Mar 29, 2018",10:30p  ET,,Box Score,@,Golden State Warriors,W,,116,107,40,35,W 1,
78,76,"Fri, Mar 30, 2018",10:30p  ET,,Box Score,@,Los Angeles Lakers,W,OT,124,122,41,35,W 2,
79,77,"Sun, Apr 1, 2018",8:00p  ET,,Box Score,@,Denver Nuggets,L,OT,125,128,41,36,L 1,
80,78,"Tue, Apr 3, 2018",8:00p  ET,,Box Score,,Boston Celtics,W,,106,102,42,36,W 1,
81,79,"Thu, Apr 5, 2018",8:00p  ET,,Box Score,,Brooklyn Nets,L,,111,119,42,37,L 1,
82,80,"Sat, Apr 7, 2018",7:30p  ET,,Box Score,@,New York Knicks,W,,115,102,43,37,W 1,
84,81,"Mon, Apr 9, 2018",8:00p  ET,,Box Score,,Orlando Magic,W,,102,86,44,37,W 2,
85,82,"Wed, Apr 11, 2018",8:00p  ET,,Box Score,@,Philadelphia 76ers,L,,95,130,44,38,L 1,
