,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
52,51,"Fri, Jan 26, 2018",8:30p  ET,,Box Score,,Philadelphia 76ers,L,,78,97,32,19,L 1,
53,52,"Sun, Jan 28, 2018",7:00p  ET,,Box Score,,Sacramento Kings,W,,113,98,33,19,W 1,
54,53,"Tue, Jan 30, 2018",8:30p  ET,,Box Score,,Denver Nuggets,W,,106,104,34,19,W 2,
55,54,"Thu, Feb 1, 2018",8:00p  ET,,Box Score,,Houston Rockets,L,,91,102,34,20,L 1,
56,55,"Sat, Feb 3, 2018",9:00p  ET,,Box Score,,Utah Jazz,L,,111,120,34,21,L 2,
57,56,"Wed, Feb 7, 2018",10:30p  ET,,Box Score,@,Phoenix Suns,W,,129,81,35,21,W 1,
58,57,"Sat, Feb 10, 2018",8:30p  ET,,Box Score,@,Golden State Warriors,L,,105,122,35,22,L 1,
59,58,"Mon, Feb 12, 2018",9:00p  ET,,Box Score,@,Utah Jazz,L,,99,101,35,23,L 2,
60,59,"Tue, Feb 13, 2018",10:30p  ET,,Box Score,@,Denver Nuggets,L,,109,117,35,24,L 3,
61,60,"Fri, Feb 23, 2018",9:00p  ET,,Box Score,@,Denver Nuggets,L,,119,122,35,25,L 4,
63,61,"Sun, Feb 25, 2018",3:30p  ET,,Box Score,@,Cleveland Cavaliers,W,,110,94,36,25,W 1,
64,62,"Wed, Feb 28, 2018",8:30p  ET,,Box Score,,New Orleans Pelicans,L,,116,121,36,26,L 1,
65,63,"Sat, Mar 3, 2018",9:00p  ET,,Box Score,,Los Angeles Lakers,L,,112,116,36,27,L 2,
66,64,"Mon, Mar 5, 2018",8:30p  ET,,Box Score,,Memphis Grizzlies,W,,100,98,37,27,W 1,
67,65,"Thu, Mar 8, 2018",10:30p  ET,,Box Score,@,Golden State Warriors,L,,107,110,37,28,L 1,
68,66,"Sat, Mar 10, 2018",8:30p  ET,,Box Score,@,Oklahoma City Thunder,L,,94,104,37,29,L 2,
69,67,"Mon, Mar 12, 2018",8:00p  ET,,Box Score,@,Houston Rockets,L,,93,109,37,30,L 3,
70,68,"Tue, Mar 13, 2018",8:30p  ET,,Box Score,,Orlando Magic,W,,108,72,38,30,W 1,
71,69,"Thu, Mar 15, 2018",8:30p  ET,,Box Score,,New Orleans Pelicans,W,,98,93,39,30,W 2,
72,70,"Sat, Mar 17, 2018",8:30p  ET,,Box Score,,Minnesota Timberwolves,W,,117,101,40,30,W 3,
73,71,"Mon, Mar 19, 2018",9:30p  ET,,Box Score,,Golden State Warriors,W,,89,75,41,30,W 4,
74,72,"Wed, Mar 21, 2018",9:30p  ET,,Box Score,,Washington Wizards,W,,98,90,42,30,W 5,
75,73,"Fri, Mar 23, 2018",8:30p  ET,,Box Score,,Utah Jazz,W,OT,124,120,43,30,W 6,
76,74,"Sun, Mar 25, 2018",3:30p  ET,,Box Score,@,Milwaukee Bucks,L,,103,106,43,31,L 1,
77,75,"Tue, Mar 27, 2018",7:00p  ET,,Box Score,@,Washington Wizards,L,,106,116,43,32,L 2,
78,76,"Thu, Mar 29, 2018",8:00p  ET,,Box Score,,Oklahoma City Thunder,W,,103,99,44,32,W 1,
79,77,"Sun, Apr 1, 2018",3:30p  ET,,Box Score,,Houston Rockets,W,,100,83,45,32,W 2,
80,78,"Tue, Apr 3, 2018",10:30p  ET,,Box Score,@,Los Angeles Clippers,L,,110,113,45,33,L 1,
81,79,"Wed, Apr 4, 2018",10:30p  ET,,Box Score,@,Los Angeles Lakers,L,OT,112,122,45,34,L 2,
82,80,"Sat, Apr 7, 2018",9:00p  ET,,Box Score,,Portland Trail Blazers,W,,116,105,46,34,W 1,
84,81,"Mon, Apr 9, 2018",8:30p  ET,,Box Score,,Sacramento Kings,W,,98,85,47,34,W 2,
85,82,"Wed, Apr 11, 2018",8:00p  ET,,Box Score,@,New Orleans Pelicans,L,,98,122,47,35,L 1,
