,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
53,52,"Thu, Feb 1, 2018",10:30p  ET,,Box Score,@,Denver Nuggets,L,,124,127,30,22,L 2,
54,53,"Fri, Feb 2, 2018",9:00p  ET,,Box Score,,New Orleans Pelicans,L,,100,114,30,23,L 3,
55,54,"Sun, Feb 4, 2018",2:00p  ET,,Box Score,,Los Angeles Lakers,L,,104,108,30,24,L 4,
56,55,"Tue, Feb 6, 2018",10:30p  ET,,Box Score,@,Golden State Warriors,W,,125,105,31,24,W 1,
57,56,"Thu, Feb 8, 2018",10:30p  ET,,Box Score,@,Los Angeles Lakers,L,,81,106,31,25,L 1,
58,57,"Sun, Feb 11, 2018",7:00p  ET,,Box Score,,Memphis Grizzlies,W,,110,92,32,25,W 1,
59,58,"Tue, Feb 13, 2018",8:00p  ET,,Box Score,,Cleveland Cavaliers,L,,112,120,32,26,L 1,
60,59,"Wed, Feb 14, 2018",8:00p  ET,,Box Score,@,Memphis Grizzlies,W,,121,114,33,26,W 1,
61,60,"Thu, Feb 22, 2018",10:00p  ET,,Box Score,@,Sacramento Kings,W,,110,107,34,26,W 2,
63,61,"Sat, Feb 24, 2018",8:30p  ET,,Box Score,@,Golden State Warriors,L,,80,112,34,27,L 1,
64,62,"Mon, Feb 26, 2018",8:00p  ET,,Box Score,,Orlando Magic,W,,112,105,35,27,W 1,
65,63,"Wed, Feb 28, 2018",8:30p  ET,,Box Score,@,Dallas Mavericks,W,OT,111,110,36,27,W 2,
66,64,"Fri, Mar 2, 2018",9:00p  ET,,Box Score,@,Phoenix Suns,W,,124,116,37,27,W 3,
67,65,"Sat, Mar 3, 2018",10:00p  ET,,Box Score,@,Portland Trail Blazers,L,,100,108,37,28,L 1,
68,66,"Tue, Mar 6, 2018",8:00p  ET,,Box Score,,Houston Rockets,L,,112,122,37,29,L 2,
69,67,"Thu, Mar 8, 2018",8:00p  ET,,Box Score,,Phoenix Suns,W,,115,87,38,29,W 1,
70,68,"Sat, Mar 10, 2018",8:30p  ET,,Box Score,,San Antonio Spurs,W,,104,94,39,29,W 2,
71,69,"Mon, Mar 12, 2018",8:00p  ET,,Box Score,,Sacramento Kings,W,,106,101,40,29,W 3,
72,70,"Tue, Mar 13, 2018",7:30p  ET,,Box Score,@,Atlanta Hawks,W,,119,107,41,29,W 4,
73,71,"Fri, Mar 16, 2018",8:00p  ET,,Box Score,,Los Angeles Clippers,W,,121,113,42,29,W 5,
74,72,"Sun, Mar 18, 2018",1:00p  ET,,Box Score,@,Toronto Raptors,W,,132,125,43,29,W 6,
75,73,"Tue, Mar 20, 2018",8:00p  ET,,Box Score,@,Boston Celtics,L,,99,100,43,30,L 1,
76,74,"Fri, Mar 23, 2018",8:00p  ET,,Box Score,,Miami Heat,W,,105,99,44,30,W 1,
77,75,"Sun, Mar 25, 2018",7:00p  ET,,Box Score,,Portland Trail Blazers,L,,105,108,44,31,L 1,
78,76,"Thu, Mar 29, 2018",8:00p  ET,,Box Score,@,San Antonio Spurs,L,,99,103,44,32,L 2,
79,77,"Fri, Mar 30, 2018",8:00p  ET,,Box Score,,Denver Nuggets,L,OT,125,126,44,33,L 3,
80,78,"Sun, Apr 1, 2018",6:00p  ET,,Box Score,@,New Orleans Pelicans,W,,109,104,45,33,W 1,
81,79,"Tue, Apr 3, 2018",8:00p  ET,,Box Score,,Golden State Warriors,L,,107,111,45,34,L 1,
82,80,"Sat, Apr 7, 2018",8:30p  ET,,Box Score,@,Houston Rockets,W,,108,102,46,34,W 1,
84,81,"Mon, Apr 9, 2018",7:30p  ET,,Box Score,@,Miami Heat,W,,115,93,47,34,W 2,
85,82,"Wed, Apr 11, 2018",8:00p  ET,,Box Score,,Memphis Grizzlies,W,,137,123,48,34,W 3,
