,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
53,52,"Fri, Feb 2, 2018",10:30p  ET,,Box Score,@,Sacramento Kings,W,,119,104,41,11,W 1,
54,53,"Sat, Feb 3, 2018",9:00p  ET,,Box Score,@,Denver Nuggets,L,,108,115,41,12,L 1,
55,54,"Tue, Feb 6, 2018",10:30p  ET,,Box Score,,Oklahoma City Thunder,L,,105,125,41,13,L 2,
56,55,"Thu, Feb 8, 2018",10:30p  ET,,Box Score,,Dallas Mavericks,W,,121,103,42,13,W 1,
57,56,"Sat, Feb 10, 2018",8:30p  ET,,Box Score,,San Antonio Spurs,W,,122,105,43,13,W 2,
58,57,"Mon, Feb 12, 2018",10:30p  ET,,Box Score,,Phoenix Suns,W,,129,83,44,13,W 3,
59,58,"Wed, Feb 14, 2018",10:30p  ET,,Box Score,@,Portland Trail Blazers,L,,117,123,44,14,L 1,
60,59,"Thu, Feb 22, 2018",10:30p  ET,,Box Score,,Los Angeles Clippers,W,,134,127,45,14,W 1,
61,60,"Sat, Feb 24, 2018",8:30p  ET,,Box Score,,Oklahoma City Thunder,W,,112,80,46,14,W 2,
63,61,"Mon, Feb 26, 2018",7:30p  ET,,Box Score,@,New York Knicks,W,,125,111,47,14,W 3,
64,62,"Wed, Feb 28, 2018",8:00p  ET,,Box Score,@,Washington Wizards,W,,109,101,48,14,W 4,
65,63,"Fri, Mar 2, 2018",7:30p  ET,,Box Score,@,Atlanta Hawks,W,,114,109,49,14,W 5,
66,64,"Tue, Mar 6, 2018",10:30p  ET,,Box Score,,Brooklyn Nets,W,,114,101,50,14,W 6,
67,65,"Thu, Mar 8, 2018",10:30p  ET,,Box Score,,San Antonio Spurs,W,,110,107,51,14,W 7,
68,66,"Fri, Mar 9, 2018",10:00p  ET,,Box Score,@,Portland Trail Blazers,L,,108,125,51,15,L 1,
69,67,"Sun, Mar 11, 2018",3:30p  ET,,Box Score,@,Minnesota Timberwolves,L,,103,109,51,16,L 2,
70,68,"Wed, Mar 14, 2018",10:30p  ET,,Box Score,,Los Angeles Lakers,W,,117,106,52,16,W 1,
