,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
53,52,"Mon, Feb 5, 2018",7:00p  ET,,Box Score,,Portland Trail Blazers,W,,111,91,26,26,W 4,
54,53,"Wed, Feb 7, 2018",7:00p  ET,,Box Score,,Brooklyn Nets,W,,115,106,27,26,W 5,
55,54,"Fri, Feb 9, 2018",7:00p  ET,,Box Score,,Los Angeles Clippers,L,,95,108,27,27,L 1,
56,55,"Sun, Feb 11, 2018",3:30p  ET,,Box Score,@,Atlanta Hawks,L,,115,118,27,28,L 2,
57,56,"Mon, Feb 12, 2018",7:00p  ET,,Box Score,,New Orleans Pelicans,L,,103,118,27,29,L 3,
58,57,"Wed, Feb 14, 2018",7:00p  ET,,Box Score,,Atlanta Hawks,W,,104,98,28,29,W 1,
59,58,"Fri, Feb 23, 2018",7:00p  ET,,Box Score,,Boston Celtics,L,,98,110,28,30,L 1,
60,59,"Sun, Feb 25, 2018",1:00p  ET,,Box Score,@,Charlotte Hornets,L,,98,114,28,31,L 2,
61,60,"Mon, Feb 26, 2018",7:30p  ET,,Box Score,@,Toronto Raptors,L,,94,123,28,32,L 3,
63,61,"Wed, Feb 28, 2018",7:00p  ET,,Box Score,,Milwaukee Bucks,W,,110,87,29,32,W 1,
64,62,"Fri, Mar 2, 2018",7:00p  ET,,Box Score,@,Orlando Magic,L,OT,106,115,29,33,L 1,
65,63,"Sat, Mar 3, 2018",7:30p  ET,,Box Score,@,Miami Heat,L,,96,105,29,34,L 2,
66,64,"Mon, Mar 5, 2018",7:00p  ET,,Box Score,@,Cleveland Cavaliers,L,,90,112,29,35,L 3,
67,65,"Wed, Mar 7, 2018",8:00p  ET,,Box Score,,Toronto Raptors,L,OT,119,121,29,36,L 4,
68,66,"Fri, Mar 9, 2018",7:00p  ET,,Box Score,,Chicago Bulls,W,,99,83,30,36,W 1,
69,67,"Tue, Mar 13, 2018",9:00p  ET,,Box Score,@,Utah Jazz,L,,79,110,30,37,L 1,
70,68,"Thu, Mar 15, 2018",9:00p  ET,,Box Score,@,Denver Nuggets,L,,113,120,30,38,L 2,
71,69,"Sat, Mar 17, 2018",10:00p  ET,,Box Score,@,Portland Trail Blazers,L,,87,100,30,39,L 3,
72,70,"Mon, Mar 19, 2018",10:00p  ET,,Box Score,@,Sacramento Kings,W,,106,90,31,39,W 1,
73,71,"Tue, Mar 20, 2018",10:00p  ET,,Box Score,@,Phoenix Suns,W,,115,88,32,39,W 2,
74,72,"Thu, Mar 22, 2018",8:00p  ET,,Box Score,@,Houston Rockets,L,OT,96,100,32,40,L 1,
75,73,"Sat, Mar 24, 2018",7:00p  ET,,Box Score,,Chicago Bulls,W,,117,95,33,40,W 1,
76,74,"Mon, Mar 26, 2018",7:00p  ET,,Box Score,,Los Angeles Lakers,W,,112,106,34,40,W 2,
77,75,"Thu, Mar 29, 2018",7:00p  ET,,Box Score,,Washington Wizards,W,,103,92,35,40,W 3,
78,76,"Sat, Mar 31, 2018",5:00p  ET,,Box Score,@,New York Knicks,W,,115,109,36,40,W 4,
79,77,"Sun, Apr 1, 2018",6:00p  ET,,Box Score,@,Brooklyn Nets,W,,108,96,37,40,W 5,
80,78,"Wed, Apr 4, 2018",7:00p  ET,,Box Score,,Philadelphia 76ers,L,,108,115,37,41,L 1,
81,79,"Fri, Apr 6, 2018",7:00p  ET,,Box Score,,Dallas Mavericks,W,OT,113,106,38,41,W 1,
82,80,"Sun, Apr 8, 2018",3:30p  ET,,Box Score,@,Memphis Grizzlies,L,,117,130,38,42,L 1,
84,81,"Mon, Apr 9, 2018",7:00p  ET,,Box Score,,Toronto Raptors,L,,98,108,38,43,L 2,
85,82,"Wed, Apr 11, 2018",8:00p  ET,,Box Score,@,Chicago Bulls,W,,119,87,39,43,W 1,
