,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
53,52,"Fri, Feb 2, 2018",8:00p  ET,,Box Score,@,Philadelphia 76ers,L,,97,103,29,23,L 2,
54,53,"Sat, Feb 3, 2018",7:00p  ET,,Box Score,@,Detroit Pistons,L,,107,111,29,24,L 3,
55,54,"Mon, Feb 5, 2018",7:30p  ET,,Box Score,,Orlando Magic,L,,109,111,29,25,L 4,
56,55,"Wed, Feb 7, 2018",7:30p  ET,,Box Score,,Houston Rockets,L,,101,109,29,26,L 5,
57,56,"Fri, Feb 9, 2018",8:00p  ET,,Box Score,,Milwaukee Bucks,W,,91,85,30,26,W 1,
58,57,"Tue, Feb 13, 2018",7:00p  ET,,Box Score,@,Toronto Raptors,L,,112,115,30,27,L 1,
59,58,"Wed, Feb 14, 2018",7:00p  ET,,Box Score,@,Philadelphia 76ers,L,,102,104,30,28,L 2,
60,59,"Fri, Feb 23, 2018",8:00p  ET,,Box Score,@,New Orleans Pelicans,L,OT,123,124,30,29,L 3,
61,60,"Sat, Feb 24, 2018",7:30p  ET,,Box Score,,Memphis Grizzlies,W,,115,89,31,29,W 1,
63,61,"Tue, Feb 27, 2018",7:30p  ET,,Box Score,,Philadelphia 76ers,W,,102,101,32,29,W 2,
64,62,"Thu, Mar 1, 2018",7:30p  ET,,Box Score,,Los Angeles Lakers,L,,113,131,32,30,L 1,
65,63,"Sat, Mar 3, 2018",7:30p  ET,,Box Score,,Detroit Pistons,W,,105,96,33,30,W 1,
66,64,"Mon, Mar 5, 2018",7:30p  ET,,Box Score,,Phoenix Suns,W,,125,103,34,30,W 2,
67,65,"Tue, Mar 6, 2018",7:00p  ET,,Box Score,@,Washington Wizards,L,OT,113,117,34,31,L 1,
68,66,"Thu, Mar 8, 2018",7:30p  ET,,Box Score,,Philadelphia 76ers,W,,108,99,35,31,W 1,
69,67,"Sat, Mar 10, 2018",7:30p  ET,,Box Score,,Washington Wizards,W,,129,102,36,31,W 2,
70,68,"Mon, Mar 12, 2018",10:30p  ET,,Box Score,@,Portland Trail Blazers,L,,99,115,36,32,L 1,
71,69,"Wed, Mar 14, 2018",10:00p  ET,,Box Score,@,Sacramento Kings,L,OT,119,123,36,33,L 2,
72,70,"Fri, Mar 16, 2018",10:30p  ET,,Box Score,@,Los Angeles Lakers,W,,92,91,37,33,W 1,
73,71,"Mon, Mar 19, 2018",7:30p  ET,,Box Score,,Denver Nuggets,W,2OT,149,141,38,33,W 2,
74,72,"Wed, Mar 21, 2018",7:30p  ET,,Box Score,,New York Knicks,W,,119,98,39,33,W 3,
75,73,"Fri, Mar 23, 2018",8:00p  ET,,Box Score,@,Oklahoma City Thunder,L,,99,105,39,34,L 1,
76,74,"Sun, Mar 25, 2018",5:00p  ET,,Box Score,@,Indiana Pacers,L,OT,107,113,39,35,L 2,
77,75,"Tue, Mar 27, 2018",8:00p  ET,,Box Score,,Cleveland Cavaliers,W,,98,79,40,35,W 1,
78,76,"Thu, Mar 29, 2018",7:30p  ET,,Box Score,,Chicago Bulls,W,,103,92,41,35,W 2,
79,77,"Sat, Mar 31, 2018",8:00p  ET,,Box Score,,Brooklyn Nets,L,OT,109,110,41,36,L 1,
80,78,"Tue, Apr 3, 2018",7:30p  ET,,Box Score,,Atlanta Hawks,W,,101,98,42,36,W 1,
81,79,"Wed, Apr 4, 2018",7:30p  ET,,Box Score,@,Atlanta Hawks,W,,115,86,43,36,W 2,
82,80,"Fri, Apr 6, 2018",7:30p  ET,,Box Score,@,New York Knicks,L,,98,122,43,37,L 1,
84,81,"Mon, Apr 9, 2018",7:30p  ET,,Box Score,,Oklahoma City Thunder,L,,93,115,43,38,L 2,
85,82,"Wed, Apr 11, 2018",8:00p  ET,,Box Score,,Toronto Raptors,W,OT,116,109,44,38,W 1,
