,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
49,48,"Wed, Jan 24, 2018",7:00p  ET,,Box Score,@,Detroit Pistons,W,OT,98,95,20,28,W 1,
50,49,"Fri, Jan 26, 2018",7:30p  ET,,Box Score,@,Toronto Raptors,W,,97,93,21,28,W 2,
51,50,"Tue, Jan 30, 2018",9:00p  ET,,Box Score,,Golden State Warriors,W,,129,99,22,28,W 3,
52,51,"Fri, Feb 2, 2018",9:00p  ET,,Box Score,@,Phoenix Suns,W,,129,97,23,28,W 4,
53,52,"Sat, Feb 3, 2018",9:00p  ET,,Box Score,@,San Antonio Spurs,W,,120,111,24,28,W 5,
54,53,"Mon, Feb 5, 2018",8:00p  ET,,Box Score,@,New Orleans Pelicans,W,,133,109,25,28,W 6,
55,54,"Wed, Feb 7, 2018",8:00p  ET,,Box Score,@,Memphis Grizzlies,W,,92,88,26,28,W 7,
56,55,"Fri, Feb 9, 2018",9:00p  ET,,Box Score,,Charlotte Hornets,W,,106,94,27,28,W 8,
57,56,"Sun, Feb 11, 2018",9:00p  ET,,Box Score,@,Portland Trail Blazers,W,,115,96,28,28,W 9,
58,57,"Mon, Feb 12, 2018",9:00p  ET,,Box Score,,San Antonio Spurs,W,,101,99,29,28,W 10,
59,58,"Wed, Feb 14, 2018",9:00p  ET,,Box Score,,Phoenix Suns,W,,107,97,30,28,W 11,
60,59,"Fri, Feb 23, 2018",9:00p  ET,,Box Score,,Portland Trail Blazers,L,,81,100,30,29,L 1,
61,60,"Sat, Feb 24, 2018",9:00p  ET,,Box Score,,Dallas Mavericks,W,,97,90,31,29,W 1,
63,61,"Mon, Feb 26, 2018",9:00p  ET,,Box Score,,Houston Rockets,L,,85,96,31,30,L 1,
64,62,"Fri, Mar 2, 2018",10:30p  ET,,Box Score,,Minnesota Timberwolves,W,,116,108,32,30,W 1,
65,63,"Sat, Mar 3, 2018",10:00p  ET,,Box Score,@,Sacramento Kings,W,,98,91,33,30,W 2,
66,64,"Mon, Mar 5, 2018",9:00p  ET,,Box Score,,Orlando Magic,W,,94,80,34,30,W 3,
67,65,"Wed, Mar 7, 2018",7:00p  ET,,Box Score,@,Indiana Pacers,W,,104,84,35,30,W 4,
68,66,"Fri, Mar 9, 2018",8:00p  ET,,Box Score,@,Memphis Grizzlies,W,,95,78,36,30,W 5,
69,67,"Sun, Mar 11, 2018",4:00p  ET,,Box Score,@,New Orleans Pelicans,W,,116,99,37,30,W 6,
70,68,"Tue, Mar 13, 2018",9:00p  ET,,Box Score,,Detroit Pistons,W,,110,79,38,30,W 7,
71,69,"Thu, Mar 15, 2018",9:00p  ET,,Box Score,,Phoenix Suns,W,,116,88,39,30,W 8,
72,70,"Sat, Mar 17, 2018",9:00p  ET,,Box Score,,Sacramento Kings,W,,103,97,40,30,W 9,
73,71,"Tue, Mar 20, 2018",9:00p  ET,,Box Score,,Atlanta Hawks,L,,94,99,40,31,L 1,
74,72,"Thu, Mar 22, 2018",8:30p  ET,,Box Score,@,Dallas Mavericks,W,,119,112,41,31,W 1,
75,73,"Fri, Mar 23, 2018",8:30p  ET,,Box Score,@,San Antonio Spurs,L,OT,120,124,41,32,L 1,
76,74,"Sun, Mar 25, 2018",8:30p  ET,,Box Score,@,Golden State Warriors,W,,110,91,42,32,W 1,
77,75,"Wed, Mar 28, 2018",9:30p  ET,,Box Score,,Boston Celtics,L,,94,97,42,33,L 1,
78,76,"Fri, Mar 30, 2018",9:00p  ET,,Box Score,,Memphis Grizzlies,W,,107,97,43,33,W 1,
79,77,"Sun, Apr 1, 2018",7:00p  ET,,Box Score,@,Minnesota Timberwolves,W,,121,97,44,33,W 2,
80,78,"Tue, Apr 3, 2018",9:00p  ET,,Box Score,,Los Angeles Lakers,W,,117,110,45,33,W 3,
81,79,"Thu, Apr 5, 2018",9:00p  ET,,Box Score,,Los Angeles Clippers,W,,117,95,46,33,W 4,
82,80,"Sun, Apr 8, 2018",6:00p  ET,,Box Score,@,Los Angeles Lakers,W,,112,97,47,33,W 5,
84,81,"Tue, Apr 10, 2018",9:00p  ET,,Box Score,,Golden State Warriors,W,,119,79,48,33,W 6,
85,82,"Wed, Apr 11, 2018",10:30p  ET,,Box Score,@,Portland Trail Blazers,L,,93,102,48,34,L 1,
