,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
53,52,"Sat, Feb 3, 2018",10:00p  ET,,Box Score,,Dallas Mavericks,L,,99,106,16,36,L 2,
54,53,"Mon, Feb 5, 2018",10:00p  ET,,Box Score,,Chicago Bulls,W,,104,98,17,36,W 1,
55,54,"Fri, Feb 9, 2018",10:30p  ET,,Box Score,,Portland Trail Blazers,L,,100,118,17,37,L 1,
56,55,"Sun, Feb 11, 2018",7:00p  ET,,Box Score,@,Minnesota Timberwolves,L,,106,111,17,38,L 2,
57,56,"Tue, Feb 13, 2018",8:30p  ET,,Box Score,@,Dallas Mavericks,W,,114,109,18,38,W 1,
58,57,"Wed, Feb 14, 2018",8:00p  ET,,Box Score,@,Houston Rockets,L,,91,100,18,39,L 1,
59,58,"Thu, Feb 22, 2018",10:00p  ET,,Box Score,,Oklahoma City Thunder,L,,107,110,18,40,L 2,
60,59,"Sat, Feb 24, 2018",10:00p  ET,,Box Score,,Los Angeles Lakers,L,,108,113,18,41,L 3,
61,60,"Mon, Feb 26, 2018",10:00p  ET,,Box Score,,Minnesota Timberwolves,L,,100,118,18,42,L 4,
63,61,"Tue, Feb 27, 2018",10:00p  ET,,Box Score,@,Portland Trail Blazers,L,,99,116,18,43,L 5,
64,62,"Thu, Mar 1, 2018",10:00p  ET,,Box Score,,Brooklyn Nets,W,OT,116,111,19,43,W 1,
65,63,"Sat, Mar 3, 2018",10:00p  ET,,Box Score,,Utah Jazz,L,,91,98,19,44,L 1,
66,64,"Sun, Mar 4, 2018",9:00p  ET,,Box Score,,New York Knicks,W,,102,99,20,44,W 1,
67,65,"Wed, Mar 7, 2018",10:00p  ET,,Box Score,,New Orleans Pelicans,L,,101,114,20,45,L 1,
68,66,"Fri, Mar 9, 2018",10:00p  ET,,Box Score,,Orlando Magic,W,,94,88,21,45,W 1,
69,67,"Sun, Mar 11, 2018",5:00p  ET,,Box Score,@,Denver Nuggets,L,,104,130,21,46,L 1,
70,68,"Mon, Mar 12, 2018",8:00p  ET,,Box Score,@,Oklahoma City Thunder,L,,101,106,21,47,L 2,
71,69,"Wed, Mar 14, 2018",10:00p  ET,,Box Score,,Miami Heat,W,OT,123,119,22,47,W 1,
