,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
25,25,"Mon, Dec 11, 2017",10:30p  ET,,Box Score,@,Los Angeles Clippers,L,,91,96,17,8,L 1,
26,26,"Wed, Dec 13, 2017",9:00p  ET,,Box Score,@,Phoenix Suns,W,,115,109,18,8,W 1,
27,27,"Fri, Dec 15, 2017",7:30p  ET,,Box Score,,Brooklyn Nets,W,,120,87,19,8,W 2,
28,28,"Sun, Dec 17, 2017",3:30p  ET,,Box Score,,Sacramento Kings,W,,108,93,20,8,W 3,
29,29,"Wed, Dec 20, 2017",7:00p  ET,,Box Score,@,Charlotte Hornets,W,,129,111,21,8,W 4,
30,30,"Thu, Dec 21, 2017",7:00p  ET,,Box Score,@,Philadelphia 76ers,W,,114,109,22,8,W 5,
31,31,"Sat, Dec 23, 2017",5:00p  ET,,Box Score,,Philadelphia 76ers,W,,102,86,23,8,W 6,
32,32,"Tue, Dec 26, 2017",7:00p  ET,,Box Score,@,Dallas Mavericks,L,,93,98,23,9,L 1,
33,33,"Wed, Dec 27, 2017",8:00p  ET,,Box Score,@,Oklahoma City Thunder,L,,107,124,23,10,L 2,
34,34,"Fri, Dec 29, 2017",7:30p  ET,,Box Score,,Atlanta Hawks,W,,111,98,24,10,W 1,
35,35,"Mon, Jan 1, 2018",7:30p  ET,,Box Score,,Milwaukee Bucks,W,OT,131,127,25,10,W 2,
36,36,"Wed, Jan 3, 2018",8:00p  ET,,Box Score,@,Chicago Bulls,W,,124,115,26,10,W 3,
37,37,"Fri, Jan 5, 2018",8:00p  ET,,Box Score,@,Milwaukee Bucks,W,,129,110,27,10,W 4,
38,38,"Mon, Jan 8, 2018",7:30p  ET,,Box Score,@,Brooklyn Nets,W,OT,114,113,28,10,W 5,
39,39,"Tue, Jan 9, 2018",7:30p  ET,,Box Score,,Miami Heat,L,,89,90,28,11,L 1,
40,40,"Thu, Jan 11, 2018",8:00p  ET,,Box Score,,Cleveland Cavaliers,W,,133,99,29,11,W 1,
