,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
27,27,"Tue, Dec 12, 2017",7:00p  ET,,Box Score,,Los Angeles Lakers,W,OT,113,109,14,13,W 2,
28,28,"Thu, Dec 14, 2017",7:30p  ET,,Box Score,@,Brooklyn Nets,W,,111,104,15,13,W 3,
29,29,"Sat, Dec 16, 2017",7:30p  ET,,Box Score,,Oklahoma City Thunder,W,,111,96,16,13,W 4,
30,30,"Mon, Dec 18, 2017",7:00p  ET,,Box Score,@,Charlotte Hornets,L,,91,109,16,14,L 1,
31,31,"Thu, Dec 21, 2017",8:00p  ET,,Box Score,,Boston Celtics,W,,102,93,17,14,W 1,
32,32,"Fri, Dec 22, 2017",7:00p  ET,,Box Score,@,Detroit Pistons,L,,101,104,17,15,L 1,
33,33,"Mon, Dec 25, 2017",12:00p  ET,,Box Score,,Philadelphia 76ers,L,,98,105,17,16,L 2,
34,34,"Wed, Dec 27, 2017",8:00p  ET,,Box Score,@,Chicago Bulls,L,,87,92,17,17,L 3,
35,35,"Thu, Dec 28, 2017",8:30p  ET,,Box Score,@,San Antonio Spurs,L,,107,119,17,18,L 4,
36,36,"Sat, Dec 30, 2017",7:00p  ET,,Box Score,@,New Orleans Pelicans,W,,105,103,18,18,W 1,
37,37,"Tue, Jan 2, 2018",7:30p  ET,,Box Score,,San Antonio Spurs,L,,91,100,18,19,L 1,
38,38,"Wed, Jan 3, 2018",7:00p  ET,,Box Score,@,Washington Wizards,L,,103,121,18,20,L 2,
39,39,"Fri, Jan 5, 2018",8:00p  ET,,Box Score,@,Miami Heat,L,OT,103,107,18,21,L 3,
40,40,"Sun, Jan 7, 2018",7:00p  ET,,Box Score,@,Dallas Mavericks,W,,100,96,19,21,W 1,
42,41,"Wed, Jan 10, 2018",7:30p  ET,,Box Score,,Chicago Bulls,L,2OT,119,122,19,22,L 1,
43,42,"Fri, Jan 12, 2018",8:00p  ET,,Box Score,@,Minnesota Timberwolves,L,,108,118,19,23,L 2,
44,43,"Sun, Jan 14, 2018",3:30p  ET,,Box Score,,New Orleans Pelicans,L,OT,118,123,19,24,L 3,
45,44,"Mon, Jan 15, 2018",3:00p  ET,,Box Score,@,Brooklyn Nets,W,,119,104,20,24,W 1,
46,45,"Wed, Jan 17, 2018",8:00p  ET,,Box Score,@,Memphis Grizzlies,L,,99,105,20,25,L 1,
47,46,"Fri, Jan 19, 2018",10:30p  ET,,Box Score,@,Utah Jazz,W,,117,115,21,25,W 1,
48,47,"Sun, Jan 21, 2018",3:30p  ET,,Box Score,@,Los Angeles Lakers,L,,107,127,21,26,L 1,
49,48,"Tue, Jan 23, 2018",10:30p  ET,,Box Score,@,Golden State Warriors,L,,112,123,21,27,L 2,
50,49,"Thu, Jan 25, 2018",9:00p  ET,,Box Score,@,Denver Nuggets,L,,118,130,21,28,L 3,
51,50,"Fri, Jan 26, 2018",9:00p  ET,,Box Score,@,Phoenix Suns,W,,107,85,22,28,W 1,
52,51,"Tue, Jan 30, 2018",7:30p  ET,,Box Score,,Brooklyn Nets,W,,111,95,23,28,W 2,
53,52,"Wed, Jan 31, 2018",8:00p  ET,,Box Score,@,Boston Celtics,L,,73,103,23,29,L 1,
54,53,"Fri, Feb 2, 2018",8:00p  ET,,Box Score,@,Milwaukee Bucks,L,,90,92,23,30,L 2,
55,54,"Sun, Feb 4, 2018",12:00p  ET,,Box Score,,Atlanta Hawks,L,,96,99,23,31,L 3,
56,55,"Tue, Feb 6, 2018",7:30p  ET,,Box Score,,Milwaukee Bucks,L,,89,103,23,32,L 4,
57,56,"Thu, Feb 8, 2018",7:30p  ET,,Box Score,@,Toronto Raptors,L,,88,113,23,33,L 5,
58,57,"Sun, Feb 11, 2018",5:00p  ET,,Box Score,@,Indiana Pacers,L,,113,121,23,34,L 6,
