,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
45,44,"Thu, Jan 11, 2018",3:00p  ET,,Box Score,@,Philadelphia 76ers,W,,114,103,34,10,W 7,"at London, England"
46,45,"Tue, Jan 16, 2018",7:30p  ET,,Box Score,,New Orleans Pelicans,L,OT,113,116,34,11,L 1,
47,46,"Thu, Jan 18, 2018",7:00p  ET,,Box Score,,Philadelphia 76ers,L,,80,89,34,12,L 2,
48,47,"Sun, Jan 21, 2018",1:00p  ET,,Box Score,,Orlando Magic,L,,95,103,34,13,L 3,
49,48,"Tue, Jan 23, 2018",10:30p  ET,,Box Score,@,Los Angeles Lakers,L,,107,108,34,14,L 4,
50,49,"Wed, Jan 24, 2018",10:30p  ET,,Box Score,@,Los Angeles Clippers,W,,113,102,35,14,W 1,
51,50,"Sat, Jan 27, 2018",8:30p  ET,,Box Score,@,Golden State Warriors,L,,105,109,35,15,L 1,
52,51,"Mon, Jan 29, 2018",9:00p  ET,,Box Score,@,Denver Nuggets,W,,111,110,36,15,W 1,
53,52,"Wed, Jan 31, 2018",8:00p  ET,,Box Score,,New York Knicks,W,,103,73,37,15,W 2,
54,53,"Fri, Feb 2, 2018",7:30p  ET,,Box Score,,Atlanta Hawks,W,,119,110,38,15,W 3,
55,54,"Sun, Feb 4, 2018",12:00p  ET,,Box Score,,Portland Trail Blazers,W,,97,96,39,15,W 4,
56,55,"Tue, Feb 6, 2018",7:30p  ET,,Box Score,@,Toronto Raptors,L,,91,111,39,16,L 1,
57,56,"Thu, Feb 8, 2018",8:00p  ET,,Box Score,@,Washington Wizards,W,OT,110,104,40,16,W 1,
58,57,"Fri, Feb 9, 2018",7:30p  ET,,Box Score,,Indiana Pacers,L,,91,97,40,17,L 1,
59,58,"Sun, Feb 11, 2018",3:30p  ET,,Box Score,,Cleveland Cavaliers,L,,99,121,40,18,L 2,
60,59,"Wed, Feb 14, 2018",8:00p  ET,,Box Score,,Los Angeles Clippers,L,,119,129,40,19,L 3,
61,60,"Fri, Feb 23, 2018",7:00p  ET,,Box Score,@,Detroit Pistons,W,,110,98,41,19,W 1,
63,61,"Sat, Feb 24, 2018",7:30p  ET,,Box Score,@,New York Knicks,W,,121,112,42,19,W 2,
64,62,"Mon, Feb 26, 2018",7:30p  ET,,Box Score,,Memphis Grizzlies,W,,109,98,43,19,W 3,
65,63,"Wed, Feb 28, 2018",7:30p  ET,,Box Score,,Charlotte Hornets,W,,134,106,44,19,W 4,
66,64,"Sat, Mar 3, 2018",8:30p  ET,,Box Score,@,Houston Rockets,L,,120,123,44,20,L 1,
67,65,"Mon, Mar 5, 2018",8:00p  ET,,Box Score,@,Chicago Bulls,W,,105,89,45,20,W 1,
68,66,"Thu, Mar 8, 2018",8:00p  ET,,Box Score,@,Minnesota Timberwolves,W,,117,109,46,20,W 2,
69,67,"Sun, Mar 11, 2018",7:30p  ET,,Box Score,,Indiana Pacers,L,,97,99,46,21,L 1,
70,68,"Wed, Mar 14, 2018",8:00p  ET,,Box Score,,Washington Wizards,L,2OT,124,125,46,22,L 2,
71,69,"Fri, Mar 16, 2018",7:00p  ET,,Box Score,@,Orlando Magic,W,,92,83,47,22,W 1,
72,70,"Sun, Mar 18, 2018",6:00p  ET,,Box Score,@,New Orleans Pelicans,L,,89,108,47,23,L 1,
73,71,"Tue, Mar 20, 2018",8:00p  ET,,Box Score,,Oklahoma City Thunder,W,,100,99,48,23,W 1,
74,72,"Fri, Mar 23, 2018",10:00p  ET,,Box Score,@,Portland Trail Blazers,W,,105,100,49,23,W 2,
75,73,"Sun, Mar 25, 2018",6:00p  ET,,Box Score,@,Sacramento Kings,W,,104,93,50,23,W 3,
76,74,"Mon, Mar 26, 2018",10:00p  ET,,Box Score,@,Phoenix Suns,W,,102,94,51,23,W 4,
77,75,"Wed, Mar 28, 2018",9:30p  ET,,Box Score,@,Utah Jazz,W,,97,94,52,23,W 5,
78,76,"Sat, Mar 31, 2018",7:30p  ET,,Box Score,,Toronto Raptors,W,,110,99,53,23,W 6,
79,77,"Tue, Apr 3, 2018",8:00p  ET,,Box Score,@,Milwaukee Bucks,L,,102,106,53,24,L 1,
80,78,"Wed, Apr 4, 2018",8:00p  ET,,Box Score,@,Toronto Raptors,L,,78,96,53,25,L 2,
81,79,"Fri, Apr 6, 2018",7:30p  ET,,Box Score,,Chicago Bulls,W,,111,104,54,25,W 1,
82,80,"Sun, Apr 8, 2018",1:00p  ET,,Box Score,,Atlanta Hawks,L,,106,112,54,26,L 1,
84,81,"Tue, Apr 10, 2018",8:00p  ET,,Box Score,@,Washington Wizards,L,,101,113,54,27,L 2,
85,82,"Wed, Apr 11, 2018",8:00p  ET,,Box Score,,Brooklyn Nets,W,,110,97,55,27,W 1,
