,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
53,52,"Fri, Feb 9, 2018",7:00p  ET,,Box Score,,New Orleans Pelicans,W,,100,82,27,25,W 2,
54,53,"Sat, Feb 10, 2018",7:00p  ET,,Box Score,,Los Angeles Clippers,W,,112,98,28,25,W 3,
55,54,"Mon, Feb 12, 2018",7:00p  ET,,Box Score,,New York Knicks,W,,108,92,29,25,W 4,
56,55,"Wed, Feb 14, 2018",7:00p  ET,,Box Score,,Miami Heat,W,,104,102,30,25,W 5,
57,56,"Thu, Feb 22, 2018",8:00p  ET,,Box Score,@,Chicago Bulls,W,,116,115,31,25,W 6,
58,57,"Sat, Feb 24, 2018",5:00p  ET,,Box Score,,Orlando Magic,W,,116,105,32,25,W 7,
59,58,"Sun, Feb 25, 2018",8:00p  ET,,Box Score,@,Washington Wizards,L,,94,109,32,26,L 1,
60,59,"Tue, Feb 27, 2018",7:30p  ET,,Box Score,@,Miami Heat,L,,101,102,32,27,L 2,
61,60,"Thu, Mar 1, 2018",8:00p  ET,,Box Score,@,Cleveland Cavaliers,W,,108,97,33,27,W 1,
63,61,"Fri, Mar 2, 2018",7:00p  ET,,Box Score,,Charlotte Hornets,W,,110,99,34,27,W 2,
64,62,"Sun, Mar 4, 2018",8:00p  ET,,Box Score,@,Milwaukee Bucks,L,,110,118,34,28,L 1,
65,63,"Tue, Mar 6, 2018",7:00p  ET,,Box Score,@,Charlotte Hornets,W,,128,114,35,28,W 1,
66,64,"Thu, Mar 8, 2018",7:30p  ET,,Box Score,@,Miami Heat,L,,99,108,35,29,L 1,
67,65,"Sun, Mar 11, 2018",7:30p  ET,,Box Score,@,Brooklyn Nets,W,,120,97,36,29,W 1,
68,66,"Tue, Mar 13, 2018",7:00p  ET,,Box Score,,Indiana Pacers,L,,98,101,36,30,L 1,
69,67,"Thu, Mar 15, 2018",7:30p  ET,,Box Score,@,New York Knicks,W,,118,110,37,30,W 1,
