,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
53,52,"Wed, Jan 31, 2018",7:00p  ET,,Box Score,,Memphis Grizzlies,W,,105,101,29,23,W 3,
54,53,"Fri, Feb 2, 2018",7:00p  ET,,Box Score,@,Charlotte Hornets,L,,126,133,29,24,L 1,
55,54,"Sat, Feb 3, 2018",7:00p  ET,,Box Score,,Philadelphia 76ers,W,,100,92,30,24,W 1,
56,55,"Mon, Feb 5, 2018",7:00p  ET,,Box Score,,Washington Wizards,L,,102,111,30,25,L 1,
57,56,"Fri, Feb 9, 2018",7:30p  ET,,Box Score,@,Boston Celtics,W,,97,91,31,25,W 1,
58,57,"Sun, Feb 11, 2018",5:00p  ET,,Box Score,,New York Knicks,W,,121,113,32,25,W 2,
59,58,"Wed, Feb 14, 2018",7:30p  ET,,Box Score,@,Brooklyn Nets,W,,108,103,33,25,W 3,
60,59,"Fri, Feb 23, 2018",7:00p  ET,,Box Score,,Atlanta Hawks,W,,116,93,34,25,W 4,
61,60,"Mon, Feb 26, 2018",8:30p  ET,,Box Score,@,Dallas Mavericks,L,,103,109,34,26,L 1,
63,61,"Wed, Feb 28, 2018",7:30p  ET,,Box Score,@,Atlanta Hawks,L,,102,107,34,27,L 2,
64,62,"Fri, Mar 2, 2018",8:00p  ET,,Box Score,@,Milwaukee Bucks,W,,103,96,35,27,W 1,
65,63,"Sun, Mar 4, 2018",6:00p  ET,,Box Score,@,Washington Wizards,W,,98,95,36,27,W 2,
66,64,"Mon, Mar 5, 2018",7:00p  ET,,Box Score,,Milwaukee Bucks,W,,92,89,37,27,W 3,
67,65,"Wed, Mar 7, 2018",7:00p  ET,,Box Score,,Utah Jazz,L,,84,104,37,28,L 1,
68,66,"Fri, Mar 9, 2018",7:00p  ET,,Box Score,,Atlanta Hawks,W,,112,87,38,28,W 1,
69,67,"Sun, Mar 11, 2018",7:30p  ET,,Box Score,@,Boston Celtics,W,,99,97,39,28,W 2,
70,68,"Tue, Mar 13, 2018",7:00p  ET,,Box Score,@,Philadelphia 76ers,W,,101,98,40,28,W 3,
71,69,"Thu, Mar 15, 2018",7:00p  ET,,Box Score,,Toronto Raptors,L,,99,106,40,29,L 1,
72,70,"Sat, Mar 17, 2018",7:00p  ET,,Box Score,@,Washington Wizards,L,,102,109,40,30,L 2,
73,71,"Mon, Mar 19, 2018",7:00p  ET,,Box Score,,Los Angeles Lakers,W,,110,100,41,30,W 1,
74,72,"Wed, Mar 21, 2018",8:00p  ET,,Box Score,@,New Orleans Pelicans,L,,92,96,41,31,L 1,
75,73,"Fri, Mar 23, 2018",7:00p  ET,,Box Score,,Los Angeles Clippers,W,,109,104,42,31,W 1,
76,74,"Sun, Mar 25, 2018",5:00p  ET,,Box Score,,Miami Heat,W,OT,113,107,43,31,W 2,
77,75,"Tue, Mar 27, 2018",10:30p  ET,,Box Score,@,Golden State Warriors,W,,92,81,44,31,W 3,
78,76,"Thu, Mar 29, 2018",10:00p  ET,,Box Score,@,Sacramento Kings,W,,106,103,45,31,W 4,
79,77,"Sun, Apr 1, 2018",3:30p  ET,,Box Score,@,Los Angeles Clippers,W,,111,104,46,31,W 5,
80,78,"Tue, Apr 3, 2018",9:00p  ET,,Box Score,@,Denver Nuggets,L,,104,107,46,32,L 1,
81,79,"Thu, Apr 5, 2018",7:00p  ET,,Box Score,,Golden State Warriors,W,,126,106,47,32,W 1,
82,80,"Fri, Apr 6, 2018",7:30p  ET,,Box Score,@,Toronto Raptors,L,,73,92,47,33,L 1,
84,81,"Sun, Apr 8, 2018",1:00p  ET,,Box Score,@,Charlotte Hornets,W,,123,117,48,33,W 1,
85,82,"Tue, Apr 10, 2018",7:00p  ET,,Box Score,,Charlotte Hornets,L,,93,119,48,34,L 1,
