,OppFG,OppFGA,Opp3P,Opp3PA,OppFT,OppFTA,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPts
Philadelphia 76ers,38.048780487804876,87.6219512195122,10.109756097560975,29.597560975609756,19.097560975609756,25.634146341463413,42.18292682926829,21.73170731707317,8.5,5.085365853658536,13.695121951219512,105.3048780487805
San Antonio Spurs,38.18292682926829,84.28048780487805,9.146341463414634,26.26829268292683,14.329268292682928,18.890243902439025,42.52439024390244,21.78048780487805,7.585365853658536,3.8780487804878048,13.560975609756097,99.84146341463415
Houston Rockets,39.5609756097561,85.57317073170732,10.109756097560975,28.841463414634145,14.646341463414634,19.634146341463413,42.048780487804876,22.402439024390244,7.426829268292683,4.426829268292683,13.963414634146341,103.8780487804878
Detroit Pistons,39.09756097560975,85.21951219512195,11.073170731707316,30.817073170731707,14.646341463414634,18.890243902439025,43.76829268292683,25.170731707317074,7.280487804878049,4.853658536585366,14.170731707317072,103.91463414634147
Boston Celtics,37.390243902439025,85.03658536585365,9.378048780487806,27.682926829268293,16.26829268292683,21.317073170731707,43.84146341463415,21.26829268292683,7.2439024390243905,4.439024390243903,13.536585365853659,100.42682926829268
Miami Heat,37.68292682926829,83.8170731707317,9.573170731707316,26.597560975609756,18.0,22.98780487804878,43.09756097560975,20.975609756097562,7.512195121951219,4.609756097560975,13.634146341463415,102.9390243902439
Orlando Magic,40.91463414634146,87.52439024390245,9.987804878048781,27.573170731707318,16.402439024390244,21.23170731707317,45.853658536585364,24.365853658536587,7.7926829268292686,4.902439024390244,13.524390243902438,108.21951219512195
Portland Trail Blazers,38.36585365853659,85.8780487804878,9.682926829268293,26.573170731707318,16.609756097560975,22.0,42.90243902439025,20.182926829268293,7.341463414634147,5.097560975609756,12.341463414634147,103.02439024390245
Golden State Warriors,40.19512195121951,90.0,10.402439024390244,29.170731707317074,16.695121951219512,22.036585365853657,42.5,23.585365853658537,8.74390243902439,3.6707317073170733,13.463414634146341,107.48780487804878
New York Knicks,39.426829268292686,86.3170731707317,11.182926829268293,30.414634146341463,17.98780487804878,23.24390243902439,43.15853658536585,23.963414634146343,8.170731707317072,4.7439024390243905,12.841463414634147,108.02439024390245
Washington Wizards,38.96341463414634,84.36585365853658,10.182926829268293,29.182926829268293,17.914634146341463,23.548780487804876,42.52439024390244,22.329268292682926,7.817073170731708,4.670731707317073,14.390243902439025,106.02439024390245
Dallas Mavericks,39.25609756097561,83.78048780487805,10.658536585365853,29.378048780487806,16.182926829268293,21.402439024390244,45.75609756097561,23.524390243902438,7.2439024390243905,4.487804878048781,13.353658536585366,105.35365853658537
Minnesota Timberwolves,40.21951219512195,84.64634146341463,10.853658536585366,29.646341463414632,15.987804878048781,20.524390243902438,41.80487804878049,23.926829268292682,6.451219512195122,4.658536585365853,14.5,107.28048780487805
Los Angeles Clippers,40.21951219512195,87.73170731707317,10.74390243902439,30.20731707317073,17.76829268292683,22.73170731707317,43.6219512195122,24.573170731707318,8.524390243902438,5.634146341463414,13.560975609756097,108.95121951219512
Oklahoma City Thunder,38.48780487804878,83.96341463414635,11.21951219512195,30.573170731707318,16.24390243902439,21.134146341463413,42.15853658536585,23.304878048780488,7.682926829268292,4.597560975609756,15.134146341463415,104.4390243902439
Charlotte Hornets,41.09756097560975,87.79268292682927,11.292682926829269,30.085365853658537,14.475609756097562,18.21951219512195,43.707317073170735,24.74390243902439,6.609756097560975,4.926829268292683,13.060975609756097,107.96341463414635
Milwaukee Bucks,39.13414634146341,83.70731707317073,10.109756097560975,27.146341463414632,18.402439024390244,23.5,42.71951219512195,23.646341463414632,7.134146341463414,4.463414634146342,14.707317073170731,106.78048780487805
Memphis Grizzlies,37.146341463414636,80.3170731707317,10.658536585365853,28.975609756097562,20.585365853658537,26.78048780487805,42.5,22.146341463414632,8.073170731707316,5.134146341463414,13.963414634146341,105.53658536585365
Toronto Raptors,38.40243902439025,85.57317073170732,8.914634146341463,24.951219512195124,18.158536585365855,23.682926829268293,42.41463414634146,21.78048780487805,7.170731707317073,4.890243902439025,13.707317073170731,103.8780487804878
Utah Jazz,37.28048780487805,82.97560975609755,9.487804878048781,25.98780487804878,15.792682926829269,20.48780487804878,41.609756097560975,19.951219512195124,8.268292682926829,4.634146341463414,14.475609756097562,99.84146341463415
Phoenix Suns,41.78048780487805,88.70731707317073,10.914634146341463,29.24390243902439,18.817073170731707,24.5609756097561,45.86585365853659,23.29268292682927,8.670731707317072,5.951219512195122,12.963414634146341,113.29268292682927
Sacramento Kings,38.74390243902439,82.42682926829268,11.902439024390244,31.536585365853657,16.426829268292682,21.475609756097562,43.74390243902439,23.646341463414632,7.7560975609756095,4.7439024390243905,13.634146341463415,105.8170731707317
New Orleans Pelicans,41.74390243902439,91.92682926829268,10.865853658536585,30.585365853658537,16.0609756097561,20.475609756097562,45.48780487804878,23.74390243902439,8.170731707317072,4.195121951219512,13.829268292682928,110.41463414634147
Cleveland Cavaliers,41.81707317073171,88.26829268292683,11.658536585365853,31.658536585365855,14.634146341463415,19.365853658536587,43.63414634146341,25.878048780487806,7.475609756097561,4.146341463414634,12.902439024390244,109.92682926829268
Atlanta Hawks,40.68292682926829,86.6829268292683,11.573170731707316,30.71951219512195,15.865853658536585,20.573170731707318,44.21951219512195,26.048780487804876,8.658536585365853,5.524390243902439,14.646341463414634,108.8048780487805
Brooklyn Nets,41.68292682926829,89.4390243902439,9.036585365853659,24.51219512195122,17.9390243902439,23.426829268292682,46.75609756097561,21.73170731707317,7.682926829268292,5.487804878048781,11.987804878048781,110.34146341463415
Indiana Pacers,39.390243902439025,84.78048780487805,10.609756097560975,30.4390243902439,14.792682926829269,19.548780487804876,42.96341463414634,23.23170731707317,7.036585365853658,5.219512195121951,14.792682926829269,104.1829268292683
Denver Nuggets,41.292682926829265,86.7439024390244,10.890243902439025,28.829268292682926,15.048780487804878,20.378048780487806,41.6219512195122,24.74390243902439,7.975609756097561,4.7682926829268295,13.365853658536585,108.52439024390245
