Atlanta Hawks,/teams/ATL/
Boston Celtics,/teams/BOS/
Brooklyn Nets,/teams/NJN/
Charlotte Hornets,/teams/CHA/
Chicago Bulls,/teams/CHI/
Cleveland Cavaliers,/teams/CLE/
Dallas Mavericks,/teams/DAL/
Denver Nuggets,/teams/DEN/
Detroit Pistons,/teams/DET/
Golden State Warriors,/teams/GSW/
Houston Rockets,/teams/HOU/
Indiana Pacers,/teams/IND/
Los Angeles Clippers,/teams/LAC/
Los Angeles Lakers,/teams/LAL/
Memphis Grizzlies,/teams/MEM/
Miami Heat,/teams/MIA/
Milwaukee Bucks,/teams/MIL/
Minnesota Timberwolves,/teams/MIN/
New Orleans Pelicans,/teams/NOH/
New York Knicks,/teams/NYK/
Oklahoma City Thunder,/teams/OKC/
Orlando Magic,/teams/ORL/
Philadelphia 76ers,/teams/PHI/
Phoenix Suns,/teams/PHO/
Portland Trail Blazers,/teams/POR/
Sacramento Kings,/teams/SAC/
San Antonio Spurs,/teams/SAS/
Toronto Raptors,/teams/TOR/
Utah Jazz,/teams/UTA/
Washington Wizards,/teams/WAS/
